label	index	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id	hemisphere_labels
RH_Cont_PFCmp_1	88.0	Cont	7Networks_RH_Cont_PFCmp_1	77.0	17Networks_RH_SalVentAttnB_PFCmp_1	SalVentAttnB	4S156		RH
RH_Cont_pCun_1	89.0	Cont	7Networks_RH_Cont_pCun_1	88.0	17Networks_RH_ContC_pCun_1	ContC	4S156		RH
RH_Default_Par_1	90.0	Default	7Networks_RH_Default_Par_1	89.0	17Networks_RH_DefaultA_IPL_1	DefaultA	4S156		RH
RH_Default_Temp_1	91.0	Default	7Networks_RH_Default_Temp_1	83.0	17Networks_RH_ContB_Temp_1	ContB	4S156		RH
RH_Default_Temp_2	92.0	Default	7Networks_RH_Default_Temp_2	98.0	17Networks_RH_TempPar_1	TempPar	4S156		RH
RH_Default_Temp_3	93.0	Default	7Networks_RH_Default_Temp_3	99.0	17Networks_RH_TempPar_2	TempPar	4S156		RH
RH_Default_PFCv_1	94.0	Default	7Networks_RH_Default_PFCv_1	94.0	17Networks_RH_DefaultB_PFCv_1	DefaultB	4S156		RH
RH_Default_PFCv_2	95.0	Default	7Networks_RH_Default_PFCv_2	95.0	17Networks_RH_DefaultB_PFCv_2	DefaultB	4S156		RH
RH_Default_PFCdPFCm_1	96.0	Default	7Networks_RH_Default_PFCdPFCm_1	92.0	17Networks_RH_DefaultA_PFCm_1	DefaultA	4S156		RH
RH_Default_PFCdPFCm_2	97.0	Default	7Networks_RH_Default_PFCdPFCm_2	93.0	17Networks_RH_DefaultB_PFCd_1	DefaultB	4S156		RH
RH_Default_PFCdPFCm_3	98.0	Default	7Networks_RH_Default_PFCdPFCm_3	90.0	17Networks_RH_DefaultA_PFCd_1	DefaultA	4S156		RH
RH_Default_pCunPCC_1	99.0	Default	7Networks_RH_Default_pCunPCC_1	96.0	17Networks_RH_DefaultC_Rsp_1	DefaultC	4S156		RH
RH_Default_pCunPCC_2	100.0	Default	7Networks_RH_Default_pCunPCC_2	91.0	17Networks_RH_DefaultA_pCunPCC_1	DefaultA	4S156		RH
